노선명,size,min,max,mean
150,2175,0.0,37.09972532432008,8.797148329381312
151,1419,0.0,21.73329784773761,5.833723161802618
152,2586,0.0,26.128478723110266,6.862454869698583
160,2625,0.0,39.43736165407069,10.943292891078446
162,981,0.0,16.976058781068936,5.384765670231512
163,2228,0.0,22.926692626313496,6.835696744175474
171,1201,0.0,19.343320069208122,5.601573014829093
172,1507,0.0,25.22994635608791,6.608782716818085
173,1500,0.0,18.70077424855011,4.5255758022381976
201,722,0.0,19.666606211850194,5.037431722921338
202,1627,0.0,20.74996466750942,5.711159564008382
240,1853,0.0,16.621532035275383,3.9934207254072636
241,1627,0.0,18.20565073838787,4.418439128692676
242,1378,0.0,17.422179483136787,4.799372000297285
260,1674,0.0,27.85652760421296,8.124759431191261
261,2073,0.0,21.87877414800673,5.879052880831056
262,2427,0.0,26.635927359562608,5.79350933375824
270,1869,0.0,30.66237404476128,8.975326507923103
272,1975,0.0,22.891948743392902,7.39659885341722
273,2126,0.0,25.24068842365991,6.0787260231488425
301,1773,0.0,22.758777443711416,6.601125149156868
302,832,0.0,18.924118948736933,5.448406846730266
303,905,0.0,19.571873726614303,6.755003629019667
320,1695,0.0,18.725171940847144,5.6599592891657755
333,1127,0.0,13.032537471813692,4.020072456471606
340,1971,0.0,22.395957559187167,6.0790466727672126
341,1387,0.0,23.35261223796418,6.67648100833859
342,1447,0.0,19.521026447707257,5.144056005257583
343,622,0.0,16.694276189197108,5.067986688473004
345,945,0.0,20.41847412247507,5.9422673122815635
350,1294,0.0,24.079576277591993,5.250566387056967
360,1619,0.0,28.77112573631026,7.977113768727787
361,1002,0.0,29.097073601610877,5.706474423430491
370,1734,0.0,28.493696002302656,9.974165706365964
400,1224,0.0,14.322911758417803,3.685759038045155
401,1155,0.0,23.9479434121049,5.878161334245775
402,1612,0.0,23.941844121552275,5.697143351821608
405,1031,0.0,14.907518058613679,3.746421255760779
406,743,0.0,15.645865727291302,5.298804455082249
420,1363,0.0,14.452487849069536,5.647575870819025
421,1680,0.0,15.451708489152253,4.529585488608939
440,1095,0.0,17.308330876927478,6.158395705234804
441,250,0.0,13.964001169161957,3.9040534191960523
452,744,0.0,22.72172220437216,6.546067392053287
461,2454,0.0,28.29196309936647,6.781659141535481
463,1482,0.0,16.812843857592263,5.681677212416985
470,1413,0.0,29.17555725687378,8.708588941578485
472,811,0.0,19.849748457548472,7.2738739347063
1711,857,0.0,10.94664473402916,3.8843596203220594
2012,1523,0.0,13.854482727986676,4.267815013447113
2013,785,0.0,11.105045131620127,3.632033722781958
2014,736,0.0,10.069646867051926,3.5349279189219005
2015,1325,0.0,13.410116521176096,4.000001397230871
2016,2086,0.0,21.134916892529056,4.562608587456213
2112,1125,0.0,12.972477469703623,3.3881224141120616
2113,663,0.0,5.551545325901502,2.0465987545824547
2114,682,0.0,6.337527357729149,1.950430974699964
2115,1490,0.0,11.900209224856711,3.6461219897883375
2211,530,0.0,4.067565014152493,1.7236114918216836
2221,734,0.0,9.686553859844844,3.5435757130506724
2222,671,0.0,9.387658027174197,3.6798534358605295
2224,495,0.0,6.618941993533157,2.142202934613518
2227,1350,0.0,11.397123267180655,2.9741851485068223
2230,1108,0.0,8.234983524935457,2.496707509287484
2233,1197,0.0,10.781287597663999,2.8683215732317455
2236,664,0.0,5.421772595742291,1.7032393473900325
2311,1451,0.0,15.303187151232065,4.245772706056809
2312,1141,0.0,13.97979537768286,5.349291629308471
2412,887,0.0,12.786340349491663,4.47215378250435
2413,662,0.0,9.163462334653065,2.880076458243791
2415,530,0.0,6.643378305279102,2.589784276173499
2416,984,0.0,13.881449640894896,3.6771111692752534
3011,1083,0.0,18.780530823769105,4.644518195271121
3212,654,0.0,11.945235295780662,3.587020445363523
3214,671,0.0,10.399142596013746,3.355242041849718
3216,1330,0.0,16.761629037370522,4.811357033726347
3217,1109,0.0,13.730095010111853,4.746654314288068
3220,1188,0.0,15.635281626393883,3.9260180891164542
3313,430,0.0,7.655571320550121,3.2206559268234023
3314,746,0.0,10.456480225775799,3.2811261464025794
3315,966,0.0,9.45317529296842,3.222118460323105
3316,391,0.0,7.416353582879311,2.96195972751913
3317,384,0.0,9.226882707791667,3.117225728818246
3318,1349,0.0,12.7188491709353,3.7824438058860466
3319,455,0.0,6.853069699671771,2.700383548097207
3321,704,0.0,8.230429624566773,2.5913893118462914
3322,642,0.0,9.081668944449612,2.6734681089349017
3323,135,0.0,6.115506391711783,2.6327549646878348
3411,1232,0.0,18.00365741801962,4.94384962657664
3412,1382,0.0,21.97699085904284,4.8569744295438175
3413,1459,0.0,16.01622162396077,4.174209641050493
3414,870,0.0,17.81720326097385,4.6897816124128235
3416,667,0.0,8.122401674796393,2.9910750296135187
3417,665,0.0,10.234178612532975,3.1966750925120904
3420,889,0.0,19.71706411866728,5.308110920048192
3422,548,0.0,11.423304907627863,3.0324190852344435
3426,782,0.0,12.957223088676571,3.13514319148857
4211,744,0.0,12.719669180156568,3.781935616394232
4212,1145,0.0,18.804121031110807,5.7320046912763285
4312,1081,0.0,11.99127783019716,3.5598746949766764
4318,1554,0.0,20.537575564004495,4.746953148380849
4319,1059,0.0,16.99498917309706,4.513802094571032
4425,528,0.0,19.4628202852648,3.1672639246662526
4432,540,0.0,9.37977114427279,3.357688949136477
4433,282,0.0,4.015213268475054,1.6169166980944798
4435,294,0.0,6.370616605959182,2.581315220559623
1,199,0.0,5.033355193364783,1.9182593270199448
100,1908,0.0,21.6341017886851,6.121371013818827
101,1360,0.0,15.304992014132079,5.647126451146203
1014,409,0.0,6.397433874830139,2.3972229728627807
1017,703,0.0,9.474140114955873,2.708472511904671
102,1040,0.0,13.985913406288118,4.83496631268343
1020,501,0.0,6.717884593761953,3.025237047161917
103,1072,0.0,14.113092559602936,4.4284348094585
104,1004,0.0,13.242854796140621,4.908446061387063
105,1567,0.0,17.786968358121783,6.243564807720094
106,657,0.0,16.96875227510827,5.512300380254424
107,708,0.0,16.48710848033974,5.348702222670355
109,701,0.0,12.162723385869697,4.491435240506526
110A고려대,1576,0.0,15.208277095075779,5.278775949516434
110B국민대,1647,0.0,14.708653235770345,5.2074539199448315
111,879,0.0,16.14642703703623,4.916583831372185
1111,1066,0.0,9.211897187520286,3.290196454817131
1113,263,0.0,5.515024239874266,2.148110881736929
1114,144,0.0,3.363837777146995,1.5468839618023746
1115,186,0.0,3.9812546965746387,1.401660251204124
1116,184,0.0,4.8048506812279825,1.8491427426901692
1119,712,0.0,6.179277326805364,2.2772774138357064
1120,773,0.0,7.860504017968268,2.6452059267070345
1122,632,0.0,4.38683280485175,1.9027079625620753
1124,229,0.0,3.3700799828366965,1.5974793629970292
1126,664,0.0,4.483587227442377,1.9242061046854835
1127,508,0.0,6.726275593835313,2.4336324818413635
1128,1062,0.0,12.391050070960572,3.26026054987269
1129,100,0.0,2.7436579041065907,1.4700592546836628
1130,170,0.0,3.2481184362119957,1.4173616029230665
1131,454,0.0,5.171303462422842,2.180646627383156
1132,803,0.0,5.592002498924699,2.5029184378054183
1133,324,0.0,6.025021934473902,2.0665481511093424
1135,509,0.0,5.546171600136281,2.07811421946186
